Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,South Korea,Lithium-iron phosphate battery,3000,23010
2014,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Australia,Hybrid lead-acid battery/electro-chemical capacitor,20,20
2014,Lithium-ion battery,Togo,Electro-chemical battery and chemical storage,Lithium polymer battery,Togo,Lithium polymer battery,90,360
2014,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Australia,Hybrid lead-acid battery/electro-chemical capacitor,20,20
2014,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Canada,Lithium-iron phosphate battery,4000,2600
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,1000,500
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,27,283.5
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,27,94.5
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,27,94.5
2014,Lithium-ion battery,Guinea,Electro-chemical battery and chemical storage,Lithium polymer battery,Guinea,Lithium polymer battery,90,360
2014,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,Australia,Valve regulated lead-acid battery,14,219.38
2014,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,325,650
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,55,110
2014,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,598,299
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,2000,3255
2014,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Germany,Vanadium redox flow battery,325,1235
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,510,1377
2014,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Italy,Sodium-nickel-chloride battery,63,149.31
2014,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,6000,10020
2014,Lithium-ion battery,Niger,Electro-chemical battery and chemical storage,Lithium polymer battery,Niger,Lithium polymer battery,45,180
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,36,144
2015,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,500,3835
2015,Electro-chemical capacitor,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,28,22.4
2015,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,1000,10171.2
2015,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Lithium-nickel-cobalt-aluminum battery,Italy,Lithium-nickel-cobalt-aluminum battery,900,567
2015,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Italy,Lithium-ion titanate battery,1000,1200
2015,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Italy,Lithium-iron phosphate battery,1000,1220
2015,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Italy,Sodium-nickel-chloride battery,1200,4140
2015,Flow battery,Italy,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Italy,Vanadium redox flow battery,500,2000
2015,Electro-chemical capacitor,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,920,184
2015,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,1500
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,100,233
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,400
2015,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Australia,Hybrid lead-acid battery/electro-chemical capacitor,20,20
2015,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,United States,Valve regulated lead-acid battery,500,3000
2015,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Italy,Sodium-sulfur battery,10800,86400
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,360,720
2015,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,10,21.7
2015,Electro-chemical capacitor,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,50,10
2015,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,1100,242
